date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-01-02,310.12,315.13,298.8,306.1,11658600,62.024,63.026,59.76,61.22,58293000,0.0,1.0
2019-01-03,300.36,309.4,297.38,307.0,6965200,60.072,61.88,59.476,61.4,34826000,0.0,1.0
2019-01-04,317.69,318.0,302.73,306.0,7394100,63.538,63.6,60.546,61.2,36970500,0.0,1.0
2019-01-07,334.96,336.74,317.75,321.72,7551200,66.992,67.348,63.55,64.344,37756000,0.0,1.0
2019-01-08,335.35,344.01,327.02,341.96,7008500,67.07,68.802,65.404,68.392,35042500,0.0,1.0
2019-01-09,338.53,343.5,331.47,335.5,5432900,67.706,68.7,66.294,67.1,27164500,0.0,1.0
2019-01-10,344.97,345.39,331.79,334.4,6056400,68.994,69.078,66.358,66.88,30282000,0.0,1.0
2019-01-11,347.26,348.41,338.77,342.09,5039100,69.452,69.682,67.754,68.418,25195500,0.0,1.0
2019-01-14,334.4,342.5,334.0,342.38,5247300,66.88,68.5,66.8,68.476,26236500,0.0,1.0
2019-01-15,344.43,348.8,334.5,335.0,6056600,68.886,69.76,66.9,67.0,30283000,0.0,1.0
2019-01-16,346.05,352.0,343.5,344.78,4691700,69.21,70.4,68.7,68.956,23458500,0.0,1.0
2019-01-17,347.31,351.5,344.15,346.21,3676700,69.462,70.3,68.83,69.242,18383500,0.0,1.0
2019-01-18,302.26,327.13,299.73,323.0,24150800,60.452,65.426,59.946,64.6,120754000,0.0,1.0
2019-01-22,298.92,308.0,295.5,304.82,12066700,59.784,61.6,59.1,60.964,60333500,0.0,1.0
2019-01-23,287.59,294.5,281.69,292.5,12530000,57.518,58.9,56.338,58.5,62650000,0.0,1.0
2019-01-24,291.51,293.68,279.28,283.03,8012200,58.302,58.736,55.856,56.606,40061000,0.0,1.0
2019-01-25,297.04,298.52,289.55,294.39,7249600,59.408,59.704,57.91,58.878,36248000,0.0,1.0
2019-01-28,296.38,297.46,287.75,292.91,6423300,59.276,59.492,57.55,58.582,32116500,0.0,1.0
2019-01-29,297.46,298.56,291.8,295.27,4621700,59.492,59.712,58.36,59.054,23108500,0.0,1.0
2019-01-30,308.77,309.0,298.49,300.45,11250300,61.754,61.8,59.698,60.09,56251500,0.0,1.0
2019-01-31,307.02,311.56,294.0,301.0,12569200,61.404,62.312,58.8,60.2,62846000,0.0,1.0
2019-02-01,312.21,316.1,303.5,305.42,7283400,62.442,63.22,60.7,61.084,36417000,0.0,1.0
2019-02-04,312.89,315.3,301.88,312.98,7352100,62.578,63.06,60.376,62.596,36760500,0.0,1.0
2019-02-05,321.35,322.44,312.25,312.49,6742800,64.27,64.488,62.45,62.498,33714000,0.0,1.0
2019-02-06,317.22,324.24,315.62,319.59,5038500,63.444,64.848,63.124,63.918,25192500,0.0,1.0
2019-02-07,307.51,314.7,303.0,313.3,6520600,61.502,62.94,60.6,62.66,32603000,0.0,1.0
2019-02-08,305.8,307.45,298.5,306.83,5844200,61.16,61.49,59.7,61.366,29221000,0.0,1.0
2019-02-11,312.84,318.6,310.5,311.6,7129700,62.568,63.72,62.1,62.32,35648500,0.0,1.0
2019-02-12,311.81,318.19,309.62,316.2,5517600,62.362,63.638,61.924,63.24,27588000,0.0,1.0
2019-02-13,308.17,312.75,305.57,312.35,5135700,61.634,62.55,61.114,62.47,25678500,0.0,1.0
2019-02-14,303.77,306.77,301.0,303.38,5200800,60.754,61.354,60.2,60.676,26004000,0.0,1.0
2019-02-15,307.88,308.0,303.9,304.5,3904900,61.576,61.6,60.78,60.9,19524500,0.0,1.0
2019-02-19,305.64,311.54,305.47,306.56,4168400,61.128,62.308,61.094,61.312,20842000,0.0,1.0
2019-02-20,302.56,306.3,299.0,304.41,7085800,60.512,61.26,59.8,60.882,35429000,0.0,1.0
2019-02-21,291.23,303.2399,290.5,301.81,8909182,58.246,60.64798,58.1,60.362,44545910,0.0,1.0
2019-02-22,294.71,296.5,292.1,294.49,5740558,58.942,59.3,58.42,58.898,28702790,0.0,1.0
2019-02-25,298.77,302.9,297.0,297.91,6626500,59.754,60.58,59.4,59.582,33132500,0.0,1.0
2019-02-26,297.86,302.01,288.77,292.22,8582500,59.572,60.402,57.754,58.444,42912500,0.0,1.0
2019-02-27,314.74,316.3,300.55,301.78,11183900,62.948,63.26,60.11,60.356,55919500,0.0,1.0
2019-02-28,319.88,320.0,310.81,318.92,10520700,63.976,64.0,62.162,63.784,52603500,0.0,1.0
2019-03-01,294.79,307.13,291.9,306.94,22874000,58.958,61.426,58.38,61.388,114370000,0.0,1.0
2019-03-04,285.36,299.0,282.78,298.12,17096800,57.072,59.8,56.556,59.624,85484000,0.0,1.0
2019-03-05,276.54,284.0,270.1,282.0,18764700,55.308,56.8,54.02,56.4,93823500,0.0,1.0
2019-03-06,276.24,281.51,274.39,276.48,10335500,55.248,56.302,54.878,55.296,51677500,0.0,1.0
2019-03-07,276.59,284.7,274.25,278.84,9442500,55.318,56.94,54.85,55.768,47212500,0.0,1.0
2019-03-08,284.14,285.59,275.89,276.91,8819600,56.828,57.118,55.178,55.382,44098000,0.0,1.0
2019-03-11,290.92,291.28,280.5,283.52,7392300,58.184,58.256,56.1,56.704,36961500,0.0,1.0
2019-03-12,283.36,288.07,281.06,286.49,7504100,56.672,57.614,56.212,57.298,37520500,0.0,1.0
2019-03-13,288.96,291.99,282.7,283.9,6844700,57.792,58.398,56.54,56.78,34223500,0.0,1.0
2019-03-14,289.96,295.39,288.29,292.45,7074200,57.992,59.078,57.658,58.49,35371000,0.0,1.0
2019-03-15,275.43,283.72,274.4,283.51,14785500,55.086,56.744,54.88,56.702,73927500,0.0,1.0
2019-03-18,269.49,278.05,267.3,276.0,10268200,53.898,55.61,53.46,55.2,51341000,0.0,1.0
2019-03-19,267.47,273.3,263.46,267.5,11800600,53.494,54.66,52.692,53.5,59003000,0.0,1.0
2019-03-20,273.6,274.97,266.3,269.69,6908200,54.72,54.994,53.26,53.938,34541000,0.0,1.0
2019-03-21,274.02,276.45,268.45,272.6,5947100,54.804,55.29,53.69,54.52,29735500,0.0,1.0
2019-03-22,264.53,272.8,264.0,272.58,8745600,52.906,54.56,52.8,54.516,43728000,0.0,1.0
2019-03-25,260.42,263.18,254.46,259.71,10215000,52.084,52.636,50.892,51.942,51075000,0.0,1.0
2019-03-26,267.77,270.26,264.43,264.44,7350900,53.554,54.052,52.886,52.888,36754500,0.0,1.0
2019-03-27,274.83,275.37,268.18,268.75,8779200,54.966,55.074,53.636,53.75,43896000,0.0,1.0
2019-03-28,278.62,280.33,275.1,277.16,6774100,55.724,56.066,55.02,55.432,33870500,0.0,1.0
2019-03-29,279.86,280.16,274.5,278.7,5991300,55.972,56.032,54.9,55.74,29956500,0.0,1.0
2019-04-01,289.18,289.2,281.28,282.62,8110400,57.836,57.84,56.256,56.524,40552000,0.0,1.0
2019-04-02,285.88,289.44,283.88,288.3,5478900,57.176,57.888,56.776,57.66,27394500,0.0,1.0
2019-04-03,291.81,296.17,287.17,287.32,7929900,58.362,59.234,57.434,57.464,39649500,0.0,1.0
2019-04-04,267.78,271.2,260.59,261.89,23720700,53.556,54.24,52.118,52.378,118603500,0.0,1.0
2019-04-05,274.96,276.1,266.11,269.86,13038300,54.992,55.22,53.222,53.972,65191500,0.0,1.0
2019-04-08,273.2,281.16,270.44,277.69,10410400,54.64,56.232,54.088,55.538,52052000,0.0,1.0
2019-04-09,272.31,275.0,269.61,271.65,5904000,54.462,55.0,53.922,54.33,29520000,0.0,1.0
2019-04-10,276.06,278.38,272.89,276.74,7061300,55.212,55.676,54.578,55.348,35306500,0.0,1.0
2019-04-11,268.42,270.5,265.6,268.3,9835900,53.684,54.1,53.12,53.66,49179500,0.0,1.0
2019-04-12,267.7,271.95,266.83,270.22,6746000,53.54,54.39,53.366,54.044,33730000,0.0,1.0
2019-04-15,266.38,268.88,258.63,268.63,10034300,53.276,53.776,51.726,53.726,50171500,0.0,1.0
2019-04-16,273.36,275.0,264.72,265.75,7272900,54.672,55.0,52.944,53.15,36364500,0.0,1.0
2019-04-17,271.23,274.79,268.54,274.75,5126500,54.246,54.958,53.708,54.95,25632500,0.0,1.0
2019-04-18,273.26,274.84,269.75,271.23,5876300,54.652,54.968,53.95,54.246,29381500,0.0,1.0
2019-04-22,262.75,269.68,262.48,269.0,12147100,52.55,53.936,52.496,53.8,60735500,0.0,1.0
2019-04-23,263.9,265.6,255.75,260.15,10935400,52.78,53.12,51.15,52.03,54677000,0.0,1.0
2019-04-24,258.66,265.32,258.0,263.85,10727500,51.732,53.064,51.6,52.77,53637500,0.0,1.0
2019-04-25,247.63,259.0,246.07,255.0,21835300,49.526,51.8,49.214,51.0,109176500,0.0,1.0
2019-04-26,235.14,246.68,231.13,246.5,22360700,47.028,49.336,46.226,49.3,111803500,0.0,1.0
2019-04-29,241.47,243.98,232.17,235.86,16714500,48.294,48.796,46.434,47.172,83572500,0.0,1.0
2019-04-30,238.69,244.21,237.0,242.06,9464600,47.738,48.842,47.4,48.412,47323000,0.0,1.0
2019-05-01,234.01,240.0,231.5,238.85,10704400,46.802,48.0,46.3,47.77,53522000,0.0,1.0
2019-05-02,244.1,247.13,237.72,245.52,18159300,48.82,49.426,47.544,49.104,90796500,0.0,1.0
2019-05-03,255.03,256.61,243.49,243.86,23706800,51.006,51.322,48.698,48.772,118534000,0.0,1.0
2019-05-06,255.34,258.35,248.5,250.02,10833900,51.068,51.67,49.7,50.004,54169500,0.0,1.0
2019-05-07,247.06,257.21,245.1,256.8,10131400,49.412,51.442,49.02,51.36,50657000,0.0,1.0
2019-05-08,244.84,250.6,244.2,246.94,6176400,48.968,50.12,48.84,49.388,30882000,0.0,1.0
2019-05-09,241.98,243.68,236.94,242.0,6711400,48.396,48.736,47.388,48.4,33557000,0.0,1.0
2019-05-10,239.52,241.99,236.02,239.75,7008300,47.904,48.398,47.204,47.95,35041500,0.0,1.0
2019-05-13,227.01,232.47,224.5,232.01,10834800,45.402,46.494,44.9,46.402,54174000,0.0,1.0
2019-05-14,232.31,234.5,228.0,229.3,7252400,46.462,46.9,45.6,45.86,36262000,0.0,1.0
2019-05-15,231.95,232.44,225.25,229.32,7296000,46.39,46.488,45.05,45.864,36480000,0.0,1.0
2019-05-16,228.33,231.0,226.5,229.49,7483300,45.666,46.2,45.3,45.898,37416500,0.0,1.0
2019-05-17,211.03,222.24,208.92,221.96,17786700,42.206,44.448,41.784,44.392,88933500,0.0,1.0
2019-05-20,205.36,206.0,195.25,202.8,20526200,41.072,41.2,39.05,40.56,102631000,0.0,1.0
2019-05-21,205.08,207.4,196.04,197.76,18003900,41.016,41.48,39.208,39.552,90019500,0.0,1.0
2019-05-22,192.73,203.94,191.78,199.1,18685200,38.546,40.788,38.356,39.82,93426000,0.0,1.0
2019-05-23,195.49,199.47,186.22,194.34,26547100,39.098,39.894,37.244,38.868,132735500,0.0,1.0
2019-05-24,190.63,199.98,188.75,199.83,14136600,38.126,39.996,37.75,39.966,70683000,0.0,1.0
2019-05-28,188.7,195.0,187.85,191.2,10312900,37.74,39.0,37.57,38.24,51564500,0.0,1.0
2019-05-29,189.86,192.39,185.04,187.1,11955100,37.972,38.478,37.008,37.42,59775500,0.0,1.0
2019-05-30,188.22,192.26,187.02,188.75,7926500,37.644,38.452,37.404,37.75,39632500,0.0,1.0
2019-05-31,185.16,189.92,184.1,185.1,10406700,37.032,37.984,36.82,37.02,52033500,0.0,1.0
2019-06-03,178.97,186.68,176.99,185.51,13050900,35.794,37.336,35.398,37.102,65254500,0.0,1.0
2019-06-04,193.6,193.98,179.61,181.1,13807500,38.72,38.796,35.922,36.22,69037500,0.0,1.0
2019-06-05,196.59,201.28,191.85,198.68,13510800,39.318,40.256,38.37,39.736,67554000,0.0,1.0
2019-06-06,205.95,211.0,201.8,204.44,20242200,41.19,42.2,40.36,40.888,101211000,0.0,1.0
2019-06-07,204.5,210.8438,203.499,205.0,16003527,40.9,42.16876,40.6998,41.0,80017635,0.0,1.0
2019-06-10,212.88,216.94,209.01,210.25,10585000,42.576,43.388,41.802,42.05,52925000,0.0,1.0
2019-06-11,217.1,220.9,213.5,219.14,11653500,43.42,44.18,42.7,43.828,58267500,0.0,1.0
2019-06-12,209.26,223.38,209.0,222.95,15197500,41.852,44.676,41.8,44.59,75987500,0.0,1.0
2019-06-13,213.91,214.9,207.51,210.38,8168300,42.782,42.98,41.502,42.076,40841500,0.0,1.0
2019-06-14,214.92,216.65,210.4,211.25,7433400,42.984,43.33,42.08,42.25,37167000,0.0,1.0
2019-06-17,225.03,227.0,214.27,215.48,12316800,45.006,45.4,42.854,43.096,61584000,0.0,1.0
2019-06-18,224.74,234.74,222.56,228.72,12668900,44.948,46.948,44.512,45.744,63344500,0.0,1.0
2019-06-19,226.43,227.77,221.06,225.11,6575135,45.286,45.554,44.212,45.022,32875675,0.0,1.0
2019-06-20,219.62,226.9,216.35,223.0,11863500,43.924,45.38,43.27,44.6,59317500,0.0,1.0
2019-06-21,221.86,222.18,215.5,216.22,8202100,44.372,44.436,43.1,43.244,41010500,0.0,1.0
2019-06-24,223.64,225.86,221.02,223.24,5750800,44.728,45.172,44.204,44.648,28754000,0.0,1.0
2019-06-25,219.76,225.34,219.49,224.39,6182100,43.952,45.068,43.898,44.878,30910500,0.0,1.0
2019-06-26,219.27,227.23,218.1,220.31,8507200,43.854,45.446,43.62,44.062,42536000,0.0,1.0
2019-06-27,222.84,222.9,217.35,219.45,6339700,44.568,44.58,43.47,43.89,31698500,0.0,1.0
2019-06-28,223.46,225.17,220.8,220.99,6851400,44.692,45.034,44.16,44.198,34257000,0.0,1.0
2019-07-01,227.17,233.1,226.28,230.21,8238000,45.434,46.62,45.256,46.042,41190000,0.0,1.0
2019-07-02,224.55,229.15,222.22,228.89,9259000,44.91,45.83,44.444,45.778,46295000,0.0,1.0
2019-07-03,234.9,241.57,234.51,239.39,14201100,46.98,48.314,46.902,47.878,71005500,0.0,1.0
2019-07-05,233.1,235.45,230.8,234.57,7065700,46.62,47.09,46.16,46.914,35328500,0.0,1.0
2019-07-08,230.34,232.25,228.66,231.24,5880500,46.068,46.45,45.732,46.248,29402500,0.0,1.0
2019-07-09,230.06,231.0,227.28,228.97,6190800,46.012,46.2,45.456,45.794,30954000,0.0,1.0
2019-07-10,238.92,238.94,233.14,234.15,9145700,47.784,47.788,46.628,46.83,45728500,0.0,1.0
2019-07-11,238.6,241.5,235.8,238.14,7514400,47.72,48.3,47.16,47.628,37572000,0.0,1.0
2019-07-12,245.08,245.38,239.71,239.75,9200500,49.016,49.076,47.942,47.95,46002500,0.0,1.0
2019-07-15,253.5,254.42,244.86,248.0,11000100,50.7,50.884,48.972,49.6,55000500,0.0,1.0
2019-07-16,252.38,253.53,247.93,249.3,8149000,50.476,50.706,49.586,49.86,40745000,0.0,1.0
2019-07-17,254.86,258.31,253.35,255.67,9764700,50.972,51.662,50.67,51.134,48823500,0.0,1.0
2019-07-18,253.54,255.75,251.89,255.05,4764500,50.708,51.15,50.378,51.01,23822500,0.0,1.0
2019-07-19,258.18,259.96,254.62,255.69,7048400,51.636,51.992,50.924,51.138,35242000,0.0,1.0
2019-07-22,255.68,262.15,254.19,258.75,6842400,51.136,52.43,50.838,51.75,34212000,0.0,1.0
2019-07-23,260.17,260.48,254.5,256.71,5023100,52.034,52.096,50.9,51.342,25115500,0.0,1.0
2019-07-24,264.88,266.07,258.16,259.17,11072800,52.976,53.214,51.632,51.834,55364000,0.0,1.0
2019-07-25,228.82,234.5,225.55,233.5,22418300,45.764,46.9,45.11,46.7,112091500,0.0,1.0
2019-07-26,228.04,230.26,222.25,226.92,10027700,45.608,46.052,44.45,45.384,50138500,0.0,1.0
2019-07-29,235.77,235.94,226.03,227.09,9273300,47.154,47.188,45.206,45.418,46366500,0.0,1.0
2019-07-30,242.26,243.36,232.18,232.9,8109000,48.452,48.672,46.436,46.58,40545000,0.0,1.0
2019-07-31,241.61,246.68,236.65,243.0,9178200,48.322,49.336,47.33,48.6,45891000,0.0,1.0
2019-08-01,233.85,244.51,231.77,242.65,8259500,46.77,48.902,46.354,48.53,41297500,0.0,1.0
2019-08-02,234.34,236.27,229.23,231.35,6136500,46.868,47.254,45.846,46.27,30682500,0.0,1.0
2019-08-05,228.32,231.37,225.78,229.6,7028300,45.664,46.274,45.156,45.92,35141500,0.0,1.0
2019-08-06,230.75,232.5,225.75,231.88,5564200,46.15,46.5,45.15,46.376,27821000,0.0,1.0
2019-08-07,233.42,233.57,225.8,226.5,4776500,46.684,46.714,45.16,45.3,23882500,0.0,1.0
2019-08-08,238.3,239.8,232.65,234.45,5274300,47.66,47.96,46.53,46.89,26371500,0.0,1.0
2019-08-09,235.01,238.96,233.81,236.05,3898200,47.002,47.792,46.762,47.21,19491000,0.0,1.0
2019-08-12,229.01,235.77,228.75,232.99,4663900,45.802,47.154,45.75,46.598,23319500,0.0,1.0
2019-08-13,235.0,236.0,227.55,228.81,4848100,47.0,47.2,45.51,45.762,24240500,0.0,1.0
2019-08-14,219.62,231.5,216.69,231.21,9562600,43.924,46.3,43.338,46.242,47813000,0.0,1.0
2019-08-15,215.64,221.56,211.55,220.86,8159600,43.128,44.312,42.31,44.172,40798000,0.0,1.0
2019-08-16,219.94,222.24,216.02,216.66,5207376,43.988,44.448,43.204,43.332,26036880,0.0,1.0
2019-08-19,226.83,227.83,221.7,224.21,5309600,45.366,45.566,44.34,44.842,26548000,0.0,1.0
2019-08-20,225.86,229.09,224.54,227.62,4125200,45.172,45.818,44.908,45.524,20626000,0.0,1.0
2019-08-21,220.83,223.22,217.6,222.01,7794300,44.166,44.644,43.52,44.402,38971500,0.0,1.0
2019-08-22,222.15,225.4,218.22,222.8,6559000,44.43,45.08,43.644,44.56,32795000,0.0,1.0
2019-08-23,211.4,221.17,211.0,219.97,8538600,42.28,44.234,42.2,43.994,42693000,0.0,1.0
2019-08-26,215.0,215.02,211.54,213.6,5051900,43.0,43.004,42.308,42.72,25259500,0.0,1.0
2019-08-27,214.08,218.8,212.03,215.74,5416200,42.816,43.76,42.406,43.148,27081000,0.0,1.0
2019-08-28,215.59,217.25,212.31,213.69,3225500,43.118,43.45,42.462,42.738,16127500,0.0,1.0
2019-08-29,221.71,223.4,218.0,219.0,5179500,44.342,44.68,43.6,43.8,25897500,0.0,1.0
2019-08-30,225.61,232.44,224.21,229.15,9320600,45.122,46.488,44.842,45.83,46603000,0.0,1.0
2019-09-03,225.01,228.95,223.16,224.08,5354100,45.002,45.79,44.632,44.816,26770500,0.0,1.0
2019-09-04,220.68,228.46,219.21,226.89,5761000,44.136,45.692,43.842,45.378,28805000,0.0,1.0
2019-09-05,229.58,229.8,220.85,222.5,7395300,45.916,45.96,44.17,44.5,36976500,0.0,1.0
2019-09-06,227.45,229.64,225.17,227.2,4189400,45.49,45.928,45.034,45.44,20947000,0.0,1.0
2019-09-09,231.79,233.76,229.23,230.0,4802700,46.358,46.752,45.846,46.0,24013500,0.0,1.0
2019-09-10,235.54,235.54,228.94,230.8,4883700,47.108,47.108,45.788,46.16,24418500,0.0,1.0
2019-09-11,247.1,248.17,236.0,237.38,10042800,49.42,49.634,47.2,47.476,50214000,0.0,1.0
2019-09-12,245.87,253.5,244.4,247.7,8581200,49.174,50.7,48.88,49.54,42906000,0.0,1.0
2019-09-13,245.2,248.45,244.87,246.96,5313100,49.04,49.69,48.974,49.392,26565500,0.0,1.0
2019-09-16,242.81,247.43,241.17,246.0,4728100,48.562,49.486,48.234,49.2,23640500,0.0,1.0
2019-09-17,244.79,245.6,240.37,242.47,3865400,48.958,49.12,48.074,48.494,19327000,0.0,1.0
2019-09-18,243.49,248.17,242.37,245.0,4170200,48.698,49.634,48.474,49.0,20851000,0.0,1.0
2019-09-19,246.6,247.94,244.84,246.0,4795800,49.32,49.588,48.968,49.2,23979000,0.0,1.0
2019-09-20,240.62,246.95,238.16,246.49,6353000,48.124,49.39,47.632,49.298,31765000,0.0,1.0
2019-09-23,241.23,245.18,239.22,240.0,4340200,48.246,49.036,47.844,48.0,21701000,0.0,1.0
2019-09-24,223.21,241.99,222.61,241.52,12891500,44.642,48.398,44.522,48.304,64457500,0.0,1.0
2019-09-25,228.7,228.98,218.36,224.56,9427100,45.74,45.796,43.672,44.912,47135500,0.0,1.0
2019-09-26,242.56,243.31,227.4,230.66,11884500,48.512,48.662,45.48,46.132,59422500,0.0,1.0
2019-09-27,242.13,248.71,238.73,242.2,11116400,48.426,49.742,47.746,48.44,55582000,0.0,1.0
2019-09-30,240.87,243.98,236.11,243.0,5879800,48.174,48.796,47.222,48.6,29399000,0.0,1.0
2019-10-01,244.69,245.95,239.13,241.5,6162600,48.938,49.19,47.826,48.3,30813000,0.0,1.0
2019-10-02,243.13,244.65,239.43,243.29,5631400,48.626,48.93,47.886,48.658,28157000,0.0,1.0
2019-10-03,233.03,234.48,224.28,231.86,15084500,46.606,46.896,44.856,46.372,75422500,0.0,1.0
2019-10-04,231.43,234.78,228.07,231.61,7995000,46.286,46.956,45.614,46.322,39975000,0.0,1.0
2019-10-07,237.72,238.56,228.55,229.8,8064200,47.544,47.712,45.71,45.96,40321000,0.0,1.0
2019-10-08,240.05,243.94,234.5,235.87,8678200,48.01,48.788,46.9,47.174,43391000,0.0,1.0
2019-10-09,244.53,247.3,240.65,241.32,6894400,48.906,49.46,48.13,48.264,34472000,0.0,1.0
2019-10-10,244.74,249.28,241.58,245.28,6283300,48.948,49.856,48.316,49.056,31416500,0.0,1.0
2019-10-11,247.89,251.08,246.81,247.15,8475400,49.578,50.216,49.362,49.43,42377000,0.0,1.0
2019-10-14,256.96,258.55,247.13,247.9,10205000,51.392,51.71,49.426,49.58,51025000,0.0,1.0
2019-10-15,257.89,260.0,254.12,257.7,6432800,51.578,52.0,50.824,51.54,32164000,0.0,1.0
2019-10-16,259.75,262.1,256.92,257.39,6684100,51.95,52.42,51.384,51.478,33420500,0.0,1.0
2019-10-17,261.97,264.78,260.17,262.5,4769300,52.394,52.956,52.034,52.5,23846500,0.0,1.0
2019-10-18,256.95,262.8,255.1,260.7,5749800,51.39,52.56,51.02,52.14,28749000,0.0,1.0
2019-10-21,253.5,259.5,250.18,258.33,5020300,50.7,51.9,50.036,51.666,25101500,0.0,1.0
2019-10-22,255.58,258.33,250.85,254.32,4600800,51.116,51.666,50.17,50.864,23004000,0.0,1.0
2019-10-23,254.68,256.14,251.35,254.5,5261100,50.936,51.228,50.27,50.9,26305500,0.0,1.0
2019-10-24,299.68,304.93,289.2,298.37,29720900,59.936,60.986,57.84,59.674,148604500,0.0,1.0
2019-10-25,328.13,330.0,296.11,297.72,30006100,65.626,66.0,59.222,59.544,150030500,0.0,1.0
2019-10-28,327.71,340.84,322.6,327.54,18870300,65.542,68.168,64.52,65.508,94351500,0.0,1.0
2019-10-29,316.22,324.3,314.75,319.99,12684300,63.244,64.86,62.95,63.998,63421500,0.0,1.0
2019-10-30,315.01,318.79,309.97,313.0,9641800,63.002,63.758,61.994,62.6,48209000,0.0,1.0
2019-10-31,314.92,319.0,313.0,313.1,5067000,62.984,63.8,62.6,62.62,25335000,0.0,1.0
2019-11-01,313.31,316.48,309.8,316.32,6383900,62.662,63.296,61.96,63.264,31919500,0.0,1.0
2019-11-04,317.47,321.94,309.26,314.8,8787000,63.494,64.388,61.852,62.96,43935000,0.0,1.0
2019-11-05,317.22,323.51,316.12,319.62,6943400,63.444,64.702,63.224,63.924,34717000,0.0,1.0
2019-11-06,326.58,326.72,314.5,318.0,7940900,65.316,65.344,62.9,63.6,39704500,0.0,1.0
2019-11-07,335.54,341.5,328.02,329.14,14467300,67.108,68.3,65.604,65.828,72336500,0.0,1.0
2019-11-08,337.14,337.46,332.5,334.5,6069200,67.428,67.492,66.5,66.9,30346000,0.0,1.0
2019-11-11,345.09,349.19,342.0,343.95,9986700,69.018,69.838,68.4,68.79,49933500,0.0,1.0
2019-11-12,349.93,350.37,344.04,346.9,7359400,69.986,70.074,68.808,69.38,36797000,0.0,1.0
2019-11-13,346.11,356.33,345.18,355.0,8420100,69.222,71.266,69.036,71.0,42100500,0.0,1.0
2019-11-14,349.35,353.84,342.91,346.11,6464900,69.87,70.768,68.582,69.222,32324500,0.0,1.0
2019-11-15,352.17,352.8,348.36,350.64,4809000,70.434,70.56,69.672,70.128,24045000,0.0,1.0
2019-11-18,349.99,353.15,346.1,352.92,4400400,69.998,70.63,69.22,70.584,22002000,0.0,1.0
2019-11-19,359.52,359.99,347.8,351.75,7724800,71.904,71.998,69.56,70.35,38624000,0.0,1.0
2019-11-20,352.22,361.2,349.57,360.0,6725100,70.444,72.24,69.914,72.0,33625500,0.0,1.0
2019-11-21,354.83,360.84,354.0,354.51,6110000,70.966,72.168,70.8,70.902,30550000,0.0,1.0
2019-11-22,333.04,341.0,330.0,340.16,16870600,66.608,68.2,66.0,68.032,84353000,0.0,1.0
2019-11-25,336.34,344.57,334.46,344.32,12339500,67.268,68.914,66.892,68.864,61697500,0.0,1.0
2019-11-26,328.92,335.5,327.1,335.27,7947400,65.784,67.1,65.42,67.054,39737000,0.0,1.0
2019-11-27,331.29,333.93,328.57,331.12,5555600,66.258,66.786,65.714,66.224,27778000,0.0,1.0
2019-11-29,329.94,331.26,327.5,331.11,2465600,65.988,66.252,65.5,66.222,12328000,0.0,1.0
2019-12-02,334.87,336.38,328.69,329.4,6074500,66.974,67.276,65.738,65.88,30372500,0.0,1.0
2019-12-03,336.2,337.91,332.19,332.62,6573700,67.24,67.582,66.438,66.524,32868500,0.0,1.0
2019-12-04,333.03,337.86,332.85,337.75,5533000,66.606,67.572,66.57,67.55,27665000,0.0,1.0
2019-12-05,330.37,334.42,327.25,332.83,3724600,66.074,66.884,65.45,66.566,18623000,0.0,1.0
2019-12-06,335.89,338.86,334.77,335.0,7612400,67.178,67.772,66.954,67.0,38062000,0.0,1.0
2019-12-09,339.53,344.45,335.08,336.59,9023100,67.906,68.89,67.016,67.318,45115500,0.0,1.0
2019-12-10,348.84,350.73,339.31,339.96,8828300,69.768,70.146,67.862,67.992,44141500,0.0,1.0
2019-12-11,352.7,357.19,351.09,351.88,6897800,70.54,71.438,70.218,70.376,34489000,0.0,1.0
2019-12-12,359.68,362.74,353.23,354.92,7763900,71.936,72.548,70.646,70.984,38819500,0.0,1.0
2019-12-13,358.39,365.21,354.64,361.05,6570900,71.678,73.042,70.928,72.21,32854500,0.0,1.0
2019-12-16,381.5,383.61,362.5,362.55,18174200,76.3,76.722,72.5,72.51,90871000,0.0,1.0
2019-12-17,378.99,385.5,375.9,378.99,8496800,75.798,77.1,75.18,75.798,42484000,0.0,1.0
2019-12-18,393.15,395.22,380.58,380.63,14121000,78.63,79.044,76.116,76.126,70605000,0.0,1.0
2019-12-19,404.04,406.85,396.5,397.32,18107100,80.808,81.37,79.3,79.464,90535500,0.0,1.0
2019-12-20,405.59,413.0,400.19,410.29,14752700,81.118,82.6,80.038,82.058,73763500,0.0,1.0
2019-12-23,419.22,422.01,410.0,411.78,13319600,83.844,84.402,82.0,82.356,66598000,0.0,1.0
2019-12-24,425.25,425.47,412.69,418.36,8054700,85.05,85.094,82.538,83.672,40273500,0.0,1.0
2019-12-26,430.94,433.48,426.35,427.91,10633900,86.188,86.696,85.27,85.582,53169500,0.0,1.0
2019-12-27,430.38,435.31,426.11,435.0,9945700,86.076,87.062,85.222,87.0,49728500,0.0,1.0
2019-12-30,414.7,429.0,409.26,428.79,12586400,82.94,85.8,81.852,85.758,62932000,0.0,1.0
2019-12-31,418.33,421.29,402.08,405.0,10285700,83.666,84.258,80.416,81.0,51428500,0.0,1.0
